questions,answers
What thrust rating did the V.2500-A1 have for take-off in hot and high conditions?,"The V.2500-A1 had a thrust rating of 26,500 lbs."
What is the maximum take-off weight (MTOW) of the first V.2500-powered A320-200?,"The MTOW is 162,040 lbs (73.5 tonnes)."
What is the range of the V.2500-powered A320-200?,"The range is 2,600 nautical miles (nm)."
How did the V.2500-A5 series differ from the -A1 series?,The V.2500-A5 series had an increased fan width and higher core flow for higher thrust ratings.
What thrust ratings are available in the V.2500-A5 series?,"The thrust ratings range from 23,000 lbs to 32,000 lbs."
What is the range of the A320 with the V.2527-A5 engine?,"The range is 2,870 nm with a standard fuel capacity of 6,300 USG."
What is the maximum range achievable with supplementary fuel tanks in the A320?,"The maximum range is extended to 3,050 nm."
When was the A321 variant developed?,The A321 was developed following large sales of the 757 in the 1980s.
What is the standard two-class seat capacity of the A321?,The A321 has a standard two-class capacity of 185 seats.
How many MTOW variants are available for the A321?,There are five MTOW variants for the A321.
What are the fuel capacities available for the A321 with supplementary tanks?,"The total capacities are 7,040 USG and 7,800 USG."
What thrust ratings are available for the CFM56-5B engines on the A321?,"The thrust ratings include -5B4 (27,000 lbs), -5B1 (30,000 lbs), -5B2 (31,000 lbs), and -5B3 (33,000 lbs)."
What is the range of the A321 with CFM56-5B engines for the 83.0 tonne variant?,"The range is 2,200 nm with a standard fuel capacity of 6,260 USG."
How many A321 aircraft are equipped with CFM56-5B1 engines?,Only 18 aircraft are equipped with CFM56-5B1 engines.
What thrust ratings are available for the V.2500-A5 engines on the A321?,"The ratings are V.2530-A5 (30,400 lbs) and V.2533-A5 (33,000 lbs)."
What is the seating capacity of the A319 in a two-class configuration?,The A319 accommodates 124 seats in a two-class configuration.
What are the gross weight options for the A319?,"The options are 141,100 lbs, 149,920 lbs, 154,330 lbs, and 166,450 lbs."
What engines can the A319 utilize?,The A319 can utilize both CFM56-5A and -5B engines.
What is the range of the higher gross weight A319 variant with supplementary fuel tanks?,"The extended range is 3,450 nm with a fuel capacity of 7,070 USG."
What thrust ratings are available for the V.2500-A5 engines on the A319?,"The thrust ratings are V.2522-A5 (22,000 lbs), V.2524-A5 (23,500 lbs), and V.2527-A5 (26,500 lbs)."
How many A319s powered by the V.2522-A5 have been built?,More than 110 A319s powered by the V.2522-A5 have been built.
What is the seating capacity of the A318?,The A318 has a two-class seating capacity of 107 seats.
What engines are available for the A318?,The A318 utilizes the CFM56-5B series and PW6000 series engines.
What percentage of the A320 family fleet is made up of the A320 and A319 models?,The A320 and A319 account for 85% of all aircraft sold.
How many total orders had the A320 family received by the end of 2005?,"The A320 family received 4,283 orders by the end of 2005."
What was the A320 family’s most successful year for orders?,"The most successful year was 2005, with 918 orders."
How does the A320 family compare to the 737NG in terms of orders?,"The A320 family had 4,283 orders, while the 737NG had 2,967 orders."
What flight control system is featured in the A320 family?,The A320 family features a fly-by-wire (FBW) flight control system.
What factors contributed to the A320 family’s success?,"Factors include cabin comfort, operating efficiency, and commonality among variants."
How many aircraft have been delivered from the A320 family by the time of the report?,"More than 2,600 aircraft have been delivered."
What is the current backlog of A320 family orders?,"The current backlog exceeds 1,650 units."
What engines power the A320 family aircraft?,"The aircraft can be powered by CFM56-5A or -5B engines, V.2500-A1 or -A5 engines, and PW6000 engines for the A318."
How many A320 family aircraft have been ordered with CFM56 engines?,"The CFM56 has powered 2,111 of the A320 family aircraft ordered."
What was the first aircraft of the A320 family?,The A320 was the first aircraft launched in the family.
How many firm orders did the A320 receive by the end of 2005?,"The A320 received a total of 2,428 firm orders."
Who was the first customer to place an order for the A320?,Air France signed a letter of intent for 25 aircraft in 1981.
What are the largest customers of the A320?,"Large customers include jetBlue (173), United Airlines (117), and Air Asia (60)."
How many A320s are powered by CFM56-5B4 engines?,766 aircraft are powered by CFM56-5B4 engines.
Which airlines operate the largest fleets of CFM56-5A1-powered A320s?,Major operators include Air Canada (45) and Air France (55).
How many A320s powered by the V.2500 have been ordered?,"The V.2500 has been chosen for 1,071 A320s to date."
What are the largest operators of the V.2527-A5 engines?,"Major operators include jetBlue (82), United (97), and America West (38)."
What was the production increase to keep up with A320 family demand?,"Airbus increased production to 32 units per month, or 384 per year."
What was the order status for engines outstanding in late 2005?,Engine selections were outstanding for about 380 aircraft.
What engines are available for the A318?,The A318 utilizes the CFM56-5B series and the PW6000 series.
Which airline has the largest fleet of V.2500-A1 engines?,Major -A1 operators include America West (24) and Indian Airlines (47).
What is the range of seating capacities for the A320 family?,The A320 family offers models with seating capacities ranging from 107 to 185 seats.
How many aircraft are powered by the PW6000 engines in the A320 family?,The PW6000 engines have been selected for 30 aircraft.
What replaced many older aircraft types in the A320 family’s market?,"The A320 family replaced BAC 1-11s, Caravelles, F.28s, and Tu-134s/-154s."
How many firm orders has the A319 received since its launch?,"The A319 has received 1,239 firm orders since its launch."
How does the A319's sales volume compare to the 727-200 and 737-300?,"The A319's sales volume is comparable, with 1,239 orders against 1,260 for the 727-200 and 1,113 for the 737-300."
Who placed the largest order for A319 aircraft?,The largest orders have been placed by easyJet (140) and ILFC (150).
How many A319 aircraft have been ordered with CFM56 engines?,The CFM56 has been selected for 700 A319 aircraft.
Which CFM56 models are most common in the A319 fleet?,The -5B5 and -5B6 models dominate the A319 fleet.
How many A319s are on order as of the report?,A total of 492 A319s are on order.
What engines power the A318 aircraft?,The A318 is powered by CFM56-5B8 and PW6124 engines.
How many firm orders has the A318 received?,The A318 has received 97 firm orders.
Which airline operates the largest fleet of -5B5 powered A319s?,easyJet operates the largest fleet of -5B5 powered A319s with 58 aircraft.
What are the key advantages of the A320 family’s commonality concept?,"Advantages include cross-crew qualification, single type rating, and shared components."
Which airlines operate multiple variants of the A320 family?,Airlines like Air France and British Airways operate multiple variants.
How many aircraft does Air Canada operate with the -5A1 engines?,Air Canada operates 35 aircraft with -5A1 engines.
What distinguishes the A318 from its competitors?,"Although its sales performance is disappointing, it still exceeds that of the 737-600."
How many A319s have been ordered with V.2500 engines?,The V.2500 has been selected for 395 A319s.
What engine variant powers the majority of the A319 fleet?,The -5B5 variant powers the majority of the A319 fleet.
Which airline has ordered 15 PW6124 powered A318s?,America West has ordered 15 PW6124 powered A318s.
What is the main appeal of the A320 family to airlines?,The family concept allows for operational flexibility and cost efficiency.
How many orders did the V.2524-A5 receive for the A319?,The V.2524-A5 has 113 orders for the A319.
Which engine variants power the A320 family?,"The A320 family is powered by CFM56-5A, CFM56-5B, and V.2500 engines."
How many aircraft are powered by the -5B6 variant?,The -5B6 variant powers 188 aircraft.
Which airlines have selected the common CFM56-5B series engine?,Air France and Iberia use the CFM56-5B across all four A320 family variants.
What are the three categories of modification programs available for the A320 family?,"Engine upgrades, avionics, and future passenger-to-freighter conversions."
Which engines power the A320 family?,The CFM56-5B and V.2500-A5 series engines.
What is the purpose of the Tech Insertion package for the CFM56-5B?,"To improve fuel burn, increase durability, and enhance exhaust gas temperature (EGT) margin."
When will the Tech Insertion specification become the production build standard for the -5B?,From 2007.
What does the V.2500Select modification package offer?,Up to 1% fuel burn improvement and a 20-30% reduction in maintenance costs.
What is the main function of the airworthiness directive (AD) number 99-13-01 for the V2500-A5 engine?,To mandate a borescope inspection for oil or heat damage in the high-pressure turbine (HPT) hardware.
What modifications does Airbus offer for the ADIRU?,A free retrofit with a new magnetic variation table to avoid autoland issues at some airports.
Which system is being retrofitted to the more recent H2-F2 standard?,The flight warning computer (FWC).
What problem was detected in the A320 elevators related to water ingress?,Cracks in the honeycomb panels due to fatigue.
What major issue was discovered in the main landing gear (MLG) shock absorber?,Cracking due to non-metallic inclusions in the sliding tube base metal.
How much is the estimated cost for freighter conversion of an A320?,Between $3.5 and $4.0 million.
When is the detailed engineering work for future freighter conversions expected to begin?,In 2008.
What is the main purpose of the structural modifications in ATA chapter 53?,To address cracks and fatigue issues around rivets and fittings in the fuselage and landing gear areas.
How does the V.2500Select modification respond to market demands?,"It can be tailored for individual customers, improving fuel efficiency and reducing maintenance costs."
Which engine model powers the majority of the A320 family?,The CFM56-5B series.
What modifications were introduced to address corrosion in the A320 wings?,Several inspections and modifications were introduced to address corrosion in gear attachment areas and lower wing skins.
What is the objective of the enhanced ground proximity warning system (EGPWS) modification?,To provide a direct link to GPS to avoid false warnings caused by position shifts.
What are the main thrust ratings for the CFM56-5B engines?,"Thrust ratings range from 21,600 to 32,000 lbs across nine variants."
Which airline discovered issues with the in-board flap trunnion wear?,Lufthansa.
What must be installed for the A320 to be converted into a freighter?,"A side door, along with other modifications like strengthening the floor and installing smoke detection systems."
What was a key finding from the structural checks on the A320 wings?,Chafing marks on engine suction lines caused by incorrectly installed struts.
What modifications address the detection of cracks in the A320 elevators?,Mandatory inspections were introduced to detect and address water ingress issues.
What will be the impact of the Tech Insertion package on maintenance costs?,It is expected to reduce maintenance costs by 5%.
How many modifications are identified in ATA chapter 55 regarding the stabilizer?,Two modifications related to water ingress issues.
What is the main challenge for launching a freighter conversion program for the A320?,Ensuring there are enough customers and a large enough supply of economically attractive airframes.
How many A319 aircraft does United Airlines operate?,United Airlines operates 78 A319 aircraft.
What is the total number of orders for the V.2522-A5?,"The V.2522-A5 has 36 orders, including 23 for United Airlines."
What operational benefit does the common engine type provide to airlines?,It allows for operational flexibility and reduces engine inventory costs.
How does the A318's order performance compare to the 737-600?,"The A318's performance, while disappointing, still exceeds that of the 737-600."
What factors contribute to the large number of airframe-engine combinations in the A320 family?,Variants of maximum take-off weight (MTOW) and different fuel capacity options.
How many MTOW variants does the A321 have?,Up to five different MTOW variants.
What is the role of the full authority digital engine control (FADEC) system?,"It allows for easy changes to thrust ratings, with each having a different list price."
Which engines are offered for the A319?,"CFM56-5B5, V.2522-A5, and V.2524-A5."
What thrust ratings does the CFM56-5B offer on the A320?,"Ratings between 25,000lbs and 27,000lbs."
How does engine rating affect fuel burn?,Higher-rated engines provide better field performance but result in higher fuel burn.
What was the route used to analyze fuel burn performance?,The London Heathrow to Munich route.
What is the tracked distance for the London to Munich flight?,536 nautical miles.
How many passengers were analyzed on the A319 during the fuel burn study?,124 passengers.
How does headwind affect fuel burn during flights?,"Headwinds increase tracked distance and flight time, which can lead to increased fuel consumption."
What is the fuel capacity of the A319 in the study?,"6,300 US gallons."
Which engine type on the A319 burns the least fuel according to the analysis?,The V.2524-A5 engine.
How much more fuel does the CFM56-5B6 burn compared to the V.2524-A5 on the A319?,1.2% more fuel.
What MTOWs were analyzed for the A320?,"166,450lbs (75.5 tonnes) and 169,800lbs (77 tonnes)."
Which engine on the A320 had the highest fuel burn?,"The CFM56-5B4, which burned 11.4% more fuel than the V.2500-A1."
How does the fuel burn of the A321 compare to the A319?,The A321 is the most fuel-efficient family member in terms of fuel burn per seat.
What is the effect of increasing gross weight on fuel burn for similar engine types?,Aircraft with higher MTOW may burn the same amount of fuel as lower-weight variants equipped with the same engines.
What is the approximate fuel capacity of the A321 analyzed in the study?,"7,040 US gallons."
What advantage does the V.2500 engine have in terms of fuel efficiency?,It is generally the most fuel-efficient engine type across various A320 models.
How much more fuel does the CFM56-5B4 burn compared to the V.2527-A5 on the A320?,6.1-6.5% more fuel.
What was the average weight used for each passenger in the fuel burn study?,220 lbs.
What is the first step in the process of clearing technical defects?,Logging and troubleshooting the defects.
How does the A320's onboard system assist with fault detection?,It utilizes an onboard fault detection and analysis system and transmits fault messages to ground stations.
What is the purpose of the Centralized Fault Display System (CFDS)?,To receive system failure messages from aircraft components' built-in test equipment (BITE) and display them on the ECAM.
Where are ECAM messages displayed?,On the electronic centralized aircraft monitor in the flight deck.
How are fault messages transmitted to maintenance control?,Through the Aircraft Communication and Reporting System (ACARS).
What tool does Airbus provide for analyzing fault codes?,"AIRMAN, a computerized tool for troubleshooting and fault isolation."
What is the benefit of the onboard fault detection system?,It reduces time spent analyzing faults and minimizes maintenance hours on non-routine tasks.
How are post-flight technical logs maintained?,Flight crew log ECAM messages in the post-flight technical log.
What type of checks can flightcrew perform on the A320?,Pre-flight (PF) and transit checks.
What is the estimated man-hour (MH) expenditure for pre-flight checks per year?,About 180 MH per year.
How many total pre-flight checks are assumed to be performed annually?,Approximately 355 pre-flight checks.
What is the average MH used for a typical turnaround (TR) check?,About 3.0 MH for routine and non-routine work combined.
What is the estimated annual cost for materials used during pre-flight checks?,"About $1,260."
How many TR checks are assumed to be performed each year?,"About 1,480 TR checks."
What is the estimated MH consumption for daily checks?,"Approximately 1,250 MH annually."
What is the annual cost for materials during daily checks?,"About $125,000."
Why have values and lease rates for the A320 family aircraft strengthened recently?,"The availability of A320 family aircraft has dried up, leading to increased demand in a strong market."
What contributed to the increase in availability of A320 family aircraft?,Recent US airline bankruptcies have made additional aircraft available.
How many A320 family aircraft were ordered in 2005?,There were 918 orders for the A320 family in 2005.
What engines were initially used in the A320-100 model?,The A320-100 had CFM56-5A1 engines.
What has been the reliability trend for the IAE V.2500-A1 engines?,"The reliability has improved, with MTBRs reaching 12,000-14,000 FH, and even up to 17,000 FH for some aircraft."
Which engine variant has historically had higher sales in the A320 family?,CFM56-powered A320s have historically outsold those powered by V.2500 engines.
"How many A319s, A320s, and A321s are currently listed in storage by Airclaims?","There are 27 A319s, 18 A320s, and four A321s listed in storage."
What impact did the bankruptcy of Northwest Airlines have on the A320 family market?,"It created a surplus of at least 10 A319s and three A320s, which were rejected leases and parked."
What has been the trend in lease rates for older A320-200s since 2005?,"Lease rates for older A320-200s have strengthened by at least $30,000 a month."
What is the estimated current market value (CMV) of a 1988 A320-200 powered by CFM56-5A?,The CMV is approximately $13.5 million.
"How much can an average airline credit expect to negotiate for leasing a half-life, IAE-powered A320-200?","They can negotiate a rental of $155,000-$179,000 for a five-year lease."
What are the CMV ranges for mid-production A320s from 1996-1998?,"The CMV of a 1997 A320 is $24.9 million, with values decreasing by $1.3 million for each year of age."
"What is the monthly rental range for a 1996, half-life A320 on a five-year lease?","The rental range is $225,000-$249,000."
How much does a brand-new A320 typically lease for today?,"A brand-new A320 entering a five-year lease should have a rental in the $357,000-$395,000 range."
What is the estimated CMV for a 2005 A319?,The CMV for a 2005 A319 is approximately $38 million.
How much can a 2000 A319 expect to lease for?,"A 2000 A319 should attract a rental of $231,000-$253,000."
What is the CMV of a 1994 A319?,The CMV for the oldest A319s built in 1994 will be around $16 million.
"What was the first A321 variant delivered, and when?",The first A321 variant delivered was the A321-100 in 1994.
How much can a 2005 A321-200 realize in lease rates today?,"A 2005 A321-200 can realize a lease rate of $369,000-$409,000."
"What is the current market value of a 1997, early-production A321-200?","The CMV of a 1997, early-production A321-200 is about $22.5 million."
What sales trend is observed for the A318 variant?,"The A318 has been seen as a niche type, but sales have increased due to the A318 Elite corporate jet."
What is the CMV for a 2003 A318?,The CMV for a 2003 A318 is approximately $25.75 million.
How has the perception of A319 values changed compared to A320s?,A319 values fell less during downturns and have remained more stable than A320 values.
What factors influence the actual price paid for new A320s?,"Factors include after-sales support, airframe and engine warranties, and manufacturer-customer relationships."
What is the impact of the A320 family’s production volume on its market activity?,The large production volume ensures a constant market activity with aircraft continually being leased and placed.
How often are weekly checks performed compared to the MPD interval?,Weekly checks are often performed every six to seven days instead of the MPD's eight-day interval.
What is the estimated MH consumption for a weekly check?,About 660 MH annually.
What is the initial process for clearing technical defects in the A320?,"The process starts with logging and troubleshooting, followed by either clearing or deferring the defects."
How does the A320’s centralized fault display system (CFDS) function?,"CFDS receives system failure messages, displays them on the ECAM, and sends them to the MCDU and maintenance control via ACARS."
What is the purpose of the electronic centralized aircraft monitor (ECAM)?,ECAM displays system failure messages and is part of the fault detection and analysis system on the A320.
How are technical defects logged by the flightcrew?,"Flightcrew log ECAM messages in the post-flight technical log, which are automatically recorded by the CFDIU."
What is the estimated annual cost for pre-flight checks on the A320?,"The total annual cost for pre-flight checks is about $14,000."
How often are TR checks typically performed for the A320?,"TR checks are performed about 1,480 times a year."
What is the average time consumed for routine TR checks on the A320?,"The average time consumed for routine inspection is about 0.5 MH, with additional time for non-routine work."
How many daily checks are estimated to be performed annually?,Approximately 250 daily checks are expected to be performed each year.
What is the estimated total cost for daily checks per year?,"The total annual cost for daily checks is about $125,000 for materials and $90,000 for labor."
What is the maintenance cost per flight hour for line and ramp checks?,"The total annual cost for line and ramp checks is $595,000, equating to a rate of $212 per flight hour (FH)."
How are A checks structured under Revision 28 of the A320’s MPD?,A checks are grouped as a generic check and typically performed every 450 FH.
What is the estimated labor cost for A checks annually?,"The labor cost for A checks is about $36,500 per year."
What additional costs are associated with C checks on the A320?,"Additional costs include about $50,000 for soft-time components and $60,000 for cabin refurbishment materials."
How many MH are typically consumed during a C8 check?,"A C8 check can consume around 20,000 MH, including various tasks."
What are the maintenance costs for heavy components like wheels and brakes?,The maintenance costs total approximately $180 per flight cycle (FC) for all heavy components.
What does rotable support involve for A320 operators?,Rotable support includes leasing homebase stock and accessing serviceable units on an exchange basis.
How does the maintenance cost differ for the CFM56-5B and V.2500-A5 engines?,"Maintenance costs can vary based on the engine type, operational conditions, and maintenance intervals."
What is the reserve cost per engine flight hour (EFH) for the CFM56-5B powering the A320?,The reserve cost for the CFM56-5B is approximately $56 per EFH.
What are the intervals for replacing life-limited parts (LLPs) in the CFM56-5B engines?,"LLPs are generally replaced at every second shop visit and every 15,000 EFC."
How are shop visit costs structured for the CFM56-5B engines?,"First shop visit costs range from $800,000 to $920,000, depending on engine rating."
What is the average lifespan for the high-pressure compressor LLPs in CFM56-5B engines?,"The high-pressure compressor LLPs have lives of 18,200 EFC for engines powering the A319 and A320."
How often do operators perform A checks on the A320?,Operators typically perform six to seven A checks each year.
What factor contributes to the lower costs of the A320 maintenance cycle?,Reductions in MH used for modifications and non-routine tasks contribute to lower maintenance costs.
What is the total cost for materials and component repairs during C checks?,"The total for materials and component repairs during C checks is estimated at $360,000-395,000."
How are heavy components categorized in A320 maintenance?,"Heavy components are categorized into wheels, tyres, brakes, landing gears, thrust reversers, and the APU."
What is the average cost for materials and consumables for weekly checks?,"Approximately $42,000 per year."
How many A checks are typically performed each year?,About six to seven A checks.
What is the estimated MH consumption for A checks?,Around 520 MH per year.
How much does it cost for materials and consumables per A check?,"Between $5,000 and $6,000 per check."
What is the total annual cost for A checks?,"About $77,000."
What maintenance task consumes the most MH during A checks?,Routine tasks typically consume 80 MH.
How does improving fault detection affect flight delays?,"It allows line mechanics to prepare in advance, reducing scheduled gate time and minimizing delays."
How much additional fuel does the A319 burn compared to the A321 per passenger?,About 1.5 US gallons more per passenger.
What is the typical flight time from London to Munich under the studied conditions?,78-80 minutes when flying south.
What effect does a 60-knot headwind have on the flight from Munich to London?,It increases the tracked distance to 628 nautical miles and flight time to 90-92 minutes.
How do operating weights affect fuel consumption in the study?,Aircraft with the same actual take-off weight can have similar fuel consumption despite different MTOW ratings.
